,Новостройки,Автор отзыва,Отзыв,RuterExtractor,Ключевые слова KEYBERT,All_KeyBert,Ключевые слова RAKE,All_RAKE,Ключевые слова YAKE,Все ключевые слова YAKE,Группа 1,Группа 2,Группа 3,Группа 4
47,Новый город,Валентина,"Снимала квартиру. Квартира светлая и тёплая, 3 этаж, окна во двор. Газовое отопление, можно регулировать температуру. На первом этаже магазин пятёрочка. Огромный минус в том, что в соседних квартирах постоянно ремонт. Двор чистый, парковочные места есть, но с заселением жильцов их всё меньше и меньше. В целом обычная новостройка,","квартира, двор, светлая тёплая этаж окна, чистый парковочные место, соседние квартиры, первый этаж, обычная новостройка, заселение жильцов, газовое отопление, целое, температура, ремонт, пятёрочка, магазин","['первом этаже магазин пятёрочка', 'парковочные места есть', 'газовое отопление', 'двор чистый', 'постоянно ремонт']","первом этаже магазин пятёрочка,парковочные места есть,газовое отопление,двор чистый,постоянно ремонт","['первом этаже магазин пятёрочка', 'соседних квартирах постоянно ремонт', 'целом обычная новостройка', 'снимала квартиру', 'квартира светлая', 'газовое отопление', 'регулировать температуру', 'огромный минус', 'парковочные места', 'заселением жильцов', 'двор чистый', 'двор', 'тёплая', '3 этаж', 'окна']","первом этаже магазин пятёрочка,соседних квартирах постоянно ремонт,целом обычная новостройка,снимала квартиру,квартира светлая,газовое отопление,регулировать температуру,огромный минус,парковочные места,заселением жильцов,двор чистый,двор,тёплая,3 этаж,окна","['Снимала квартиру', 'Квартира светлая и тёплая', 'Снимала', 'этаж', 'Газовое отопление', 'двор']","Снимала квартиру,Квартира светлая и тёплая,Снимала,этаж,Газовое отопление,двор",Газовое отопление,Удобная парковка,Чистота двора,
48,Новый город,Lolik,очень красивые дома и хорошие и добрые,красивые дом,[],"['красивые дома', 'хорошие', 'добрые']","красивые дома,хорошие,добрые","['красивые дома и хорошие', 'хорошие и добрые', 'добрые', 'красивые', 'дома', 'хорошие']","красивые дома и хорошие,хорошие и добрые,добрые,красивые,дома,хорошие",,Рекомендую,,,
49,Новый город,эдуард вишняков,Новый город это лучшее место для проживания.,"наихорошее место проживания, новый город",['новый город это лучшее место для проживания'],новый город это лучшее место для проживания,"['новый город', 'лучшее место', 'проживания']","новый город,лучшее место,проживания","['Новый город это лучшее', 'лучшее место для проживания', 'лучшее место', 'Новый', 'проживания', 'город']","Новый город это лучшее,лучшее место для проживания,лучшее место,Новый,проживания,город",Рекомендую,,,
50,Новый город,Кирилл Левченко,Снимаем офис в этом здании. Стены целые. Ничего не течёт. Тепло. На данный момент все хорошо. Притензию почти нет. Только регуляторы на батареях очень хандрят.,"здание стены, регуляторы, притензия, офис, момент, батареи","['только регуляторы на батареях очень хандрят', 'на данный момент все хорошо', 'ничего не течёт', 'притензию', 'стены целые']","только регуляторы на батареях очень хандрят,на данный момент все хорошо,ничего не течёт,притензию,стены целые","['снимаем офис', 'стены целые', 'данный момент', 'здании', 'течёт', 'тепло', 'притензию', 'регуляторы', 'батареях', 'хандрят']","снимаем офис,стены целые,данный момент,здании,течёт,тепло,притензию,регуляторы,батареях,хандрят","['Снимаем офис', 'офис в этом здании', 'здании', 'Стены целые', 'офис', 'Тепло']","Снимаем офис,офис в этом здании,здании,Стены целые,офис,Тепло",Отопление,,,
51,Новый город,Андрей Викторович Филатов,"Всё не плохо. Плохо только одно. Власти и застройщики плюют на Человека, на всех. Была роща.... Продолжают уничтожать, вместо очистить её и сделать для людей. Мест море в Костроме и России. Ну прилипалам надо в Москве а и здесь обязательно вырубать рожи и сельхоз-земли. Не хотят тратиться на коммуникации... При этом дорожный Колапс уже практически есть....","сельхоз земли, люди мест, кострома россии, дорожный колапс, человек, роща, рожи, прилипалы, москва, море, коммуникация, застройщики, власть","['сделать для людей', 'при этом дорожный колапс', 'вместо очистить', 'всё не плохо', 'плохо только одно']","сделать для людей,при этом дорожный колапс,вместо очистить,всё не плохо,плохо только одно","['обязательно вырубать рожи', 'застройщики плюют', 'продолжают уничтожать', 'вместо очистить', 'мест море', 'хотят тратиться', 'дорожный колапс', 'плохо', 'одно', 'власти', 'человека', 'роща', 'сделать', 'людей', 'костроме', 'россии', 'прилипалам', 'москве', 'сельхоз-земли', 'коммуникации', 'практически']","обязательно вырубать рожи,застройщики плюют,продолжают уничтожать,вместо очистить,мест море,хотят тратиться,дорожный колапс,плохо,одно,власти,человека,роща,сделать,людей,костроме,россии,прилипалам,москве,сельхоз-земли,коммуникации,практически","['застройщики плюют на Человека', 'плохо', 'Костроме и России', 'Власти и застройщики плюют', 'Плохо только одно', 'Человека']","застройщики плюют на Человека,плохо,Костроме и России,Власти и застройщики плюют,Плохо только одно,Человека",Рекомендую(Минус),,,
52,Новый город,Серега,Пожалуй самый лучший микрорайон в городе. Чисто уютно. Нет проблем с парковками. Все в шаговой доступности. Отличные дома.,"шаговая доступность, отличные дом, наихороший микрорайон, проблемы, парковки, город","['отличные дома', 'чисто уютно']","отличные дома,чисто уютно","['пожалуй самый лучший микрорайон', 'чисто уютно', 'шаговой доступности', 'отличные дома', 'городе', 'проблем', 'парковками']","пожалуй самый лучший микрорайон,чисто уютно,шаговой доступности,отличные дома,городе,проблем,парковками","['Пожалуй самый лучший микрорайон', 'лучший микрорайон в городе', 'Пожалуй самый', 'самый лучший', 'городе', 'Чисто уютно']","Пожалуй самый лучший микрорайон,лучший микрорайон в городе,Пожалуй самый,самый лучший,городе,Чисто уютно",Рекомендую,Инфраструктура в шаговой доступности,,
53,Новый город,Дмитрий С,Самый лучший и уютный район города!!!!! В восторге от проживания!!!!,"наихороший уютный район города, восторг проживания",['от проживания'],от проживания,"['уютный район города', 'самый лучший', 'восторге', 'проживания']","уютный район города,самый лучший,восторге,проживания","['Самый лучший и уютный', 'уютный район города', 'лучший и уютный район', 'Самый', 'города', 'лучший']","Самый лучший и уютный,уютный район города,лучший и уютный район,Самый,города,лучший",Рекомендую,,,
54,Новый город,Виктор Глыбин,Хорошие квартиры! Детские площадки во дворе.,"хорошие квартира, детские площадка, двор","['детские площадки', 'дворе', 'хорошие']","детские площадки,дворе,хорошие","['хорошие квартиры', 'детские площадки', 'дворе']","хорошие квартиры,детские площадки,дворе","['Хорошие квартиры', 'Хорошие', 'Детские площадки во дворе', 'Детские', 'дворе', 'площадки']","Хорошие квартиры,Хорошие,Детские площадки во дворе,Детские,дворе,площадки",Детская площадка за окном,Рекомендую,,
55,Новый город,Иван Улегин,Лучший микрорайон,наихороший микрорайон,['лучший микрорайон'],лучший микрорайон,['лучший микрорайон'],лучший микрорайон,"['Лучший микрорайон', 'Лучший']","Лучший микрорайон,Лучший",Рекомендую,,,
56,Новый город,Лариса Королева,Красиво,['красиво'],красиво,['красиво'],красиво,['Красиво'],Красиво,,Рекомендую,,,
57,Новый город,Алексей Тищенко,Лучший жк!,['лучший'],лучший,['лучший жк'],лучший жк,['Лучший'],Лучший,,Рекомендую,,,
58,Новый город,Леза Дезза,Максимально хорошее место,хорошее место,['максимально хорошее место'],максимально хорошее место,['максимально хорошее место'],максимально хорошее место,"['Максимально хорошее место', 'Максимально', 'место', 'хорошее']","Максимально хорошее место,Максимально,место,хорошее",Рекомендую,,,
59,Новый город,алексей шумов,"Хороший район! Строится еще правда! Не все детские площадки оборудованы, но будет очень красиво и удобно!","хороший район, детские площадка","['не все детские площадки оборудованы', 'строится еще правда', 'хороший район', 'но']","не все детские площадки оборудованы,строится еще правда,хороший район,но","['детские площадки оборудованы', 'хороший район', 'строится', 'правда', 'красиво', 'удобно']","детские площадки оборудованы,хороший район,строится,правда,красиво,удобно","['Хороший район', 'район', 'Строится еще правда', 'Строится', 'правда', 'оборудованы']","Хороший район,район,Строится еще правда,Строится,правда,оборудованы",Детская площадка за окном,,,
60,Новый город,Тараканище,"Нет школы, детям приходится ходить в школы пересекая оживленные трассы.","школа, оживлённые трасса, дети","['нет школы', 'оживленные трассы']","нет школы,оживленные трассы","['школы пересекая оживленные трассы', 'детям приходится ходить', 'школы']","школы пересекая оживленные трассы,детям приходится ходить,школы","['школы пересекая оживленные трассы', 'детям приходится ходить', 'приходится ходить в школы', 'ходить в школы пересекая', 'детям', 'трассы']","школы пересекая оживленные трассы,детям приходится ходить,приходится ходить в школы,ходить в школы пересекая,детям,трассы",Школа рядом(минус),,,
61,Новый город,Елена Ремезова,Очень уютный Новый микрорайон.,уютный новый микрорайон,['очень уютный новый микрорайон'],очень уютный новый микрорайон,['уютный новый микрорайон'],уютный новый микрорайон,"['уютный Новый микрорайон', 'Новый', 'микрорайон', 'уютный']","уютный Новый микрорайон,Новый,микрорайон,уютный",Рекомендую,,,
62,Новый город,MamKatya,"Считаю удобным расположение микрорайона,дополненного новым детским садиком !","дополненный новые детский садик, удобный расположение микрорайона","['считаю удобным расположение микрорайона', 'дополненного новым детским садиком']","считаю удобным расположение микрорайона,дополненного новым детским садиком","['считаю удобным расположение микрорайона', 'дополненного новым детским садиком']","считаю удобным расположение микрорайона,дополненного новым детским садиком","['Считаю удобным расположение микрорайона,дополненного', 'микрорайона,дополненного новым детским садиком', 'Считаю удобным', 'детским садиком', 'удобным расположение', 'новым детским']","Считаю удобным расположение микрорайона,дополненного,микрорайона,дополненного новым детским садиком,Считаю удобным,детским садиком,удобным расположение,новым детским",Расположение удобное,Детский сад,,
63,Новый город,Василий,Настоящий муравейник,муравейник,['настоящий'],настоящий,['настоящий муравейник'],настоящий муравейник,"['Настоящий муравейник', 'Настоящий']","Настоящий муравейник,Настоящий",DELETED,DELETED,DELETED,DELETED
64,Новый город,Лекс,нравится что все рядом и очень чисто.и очень удобное местоположение.,удобное местоположение,"['рядом', 'чисто', 'очень', 'все', 'что']","рядом,чисто,очень,все,что","['удобное местоположение', 'нравится', 'чисто']","удобное местоположение,нравится,чисто","['чисто.и очень удобное местоположение', 'нравится', 'местоположение', 'чисто.и', 'удобное']","чисто.и очень удобное местоположение,нравится,местоположение,чисто.и,удобное",Расположение удобное,,,
65,Новый город,Сергей Алексеев,Спокойной новый район,спокойная новый район,['спокойной новый район'],спокойной новый район,['спокойной новый район'],спокойной новый район,"['Спокойной новый район', 'Спокойной', 'район', 'новый']","Спокойной новый район,Спокойной,район,новый",Рекомендую,,,
66,Новый город,Юрий Яблоков,Я работал по отделки дома хорошие квартиры и красивый вид на волгу😀,"хорошие квартира, отделка дома, красивый вид, волга",['отделки'],отделки,"['отделки дома хорошие квартиры', 'красивый вид', 'работал', 'волгу😀']","отделки дома хорошие квартиры,красивый вид,работал,волгу😀","['отделки дома хорошие квартиры', 'красивый вид на волгу', 'работал по отделки дома', 'хорошие квартиры и красивый', 'дома хорошие', 'волгу']","отделки дома хорошие квартиры,красивый вид на волгу,работал по отделки дома,хорошие квартиры и красивый,дома хорошие,волгу",Расположение удобное,Рекомендую,,
67,Новый город,Alexandr,Типичный район в типичном городе,"типичный район, типичный город",[],"['типичный район', 'типичном городе']","типичный район,типичном городе","['Типичный район в типичном', 'район в типичном городе', 'Типичный', 'городе', 'район']","Типичный район в типичном,район в типичном городе,Типичный,городе,район",,DELETED,DELETED,DELETED,DELETED
68,Новый город,Виктория,Хороший жилой комплекс!,хороший жилая комплекс,['хороший жилой комплекс'],хороший жилой комплекс,['хороший жилой комплекс'],хороший жилой комплекс,"['Хороший жилой комплекс', 'Хороший', 'комплекс', 'жилой']","Хороший жилой комплекс,Хороший,комплекс,жилой",Рекомендую,,,
69,Новый город,Алексей Драгайцев,"Квартиры хорошие, минус-плохая водопроводная вода","плохая водопроводная вода, квартира","['плохая водопроводная вода', 'квартиры хорошие', 'минус']","плохая водопроводная вода,квартиры хорошие,минус","['минус-плохая водопроводная вода', 'квартиры хорошие']","минус-плохая водопроводная вода,квартиры хорошие","['минус-плохая водопроводная вода', 'Квартиры хорошие', 'хорошие', 'минус-плохая', 'вода', 'водопроводная']","минус-плохая водопроводная вода,Квартиры хорошие,хорошие,минус-плохая,вода,водопроводная",Отсутствие запаха(Минус),,,
70,Новый город,Дмитрий Евсеев,"Муравейник, АОГВ бред, лучше придомовая котельная","придомовая котельная, муравейник, бред","['лучше придомовая котельная', 'аогв бред', 'муравейник']","лучше придомовая котельная,аогв бред,муравейник","['аогв бред', 'придомовая котельная', 'муравейник']","аогв бред,придомовая котельная,муравейник","['АОГВ бред', 'Муравейник', 'придомовая котельная', 'АОГВ', 'бред', 'котельная']","АОГВ бред,Муравейник,придомовая котельная,АОГВ,бред,котельная",Отопление(Минус),,,
71,Новый город,Игорь Сергеев,"Автономное отопление, чистые подъезды","чистые подъезды, автономное отопление","['чистые подъезды', 'автономное отопление']","чистые подъезды,автономное отопление","['автономное отопление', 'чистые подъезды']","автономное отопление,чистые подъезды","['Автономное отопление', 'чистые подъезды', 'отопление', 'чистые']","Автономное отопление,чистые подъезды,отопление,чистые",Чистота двора,Отопление,,
72,Новый город,Максим Д.,Чисто и культурно.,['чисто'],чисто,"['чисто', 'культурно']","чисто,культурно","['Чисто и культурно', 'Чисто']","Чисто и культурно,Чисто",,Чистота двора,,,
73,Новый город,Андрей У.,Красивый дом,красивый дом,['красивый дом'],красивый дом,['красивый дом'],красивый дом,"['Красивый дом', 'дом']","Красивый дом,дом",Рекомендую,,,
74,Новый город,Евгений Лешкин,Очень хорошее место,хорошее место,['очень хорошее место'],очень хорошее место,['хорошее место'],хорошее место,"['хорошее место', 'место']","хорошее место,место",Расположение удобное,Рекомендую,,
75,Новый город,Аркадий С.,Купили тут квартиру. Ждём когда сдадут. Дом хороший,"квартира, дом","['купили тут квартиру', 'ждём', 'дом хороший']","купили тут квартиру,ждём,дом хороший","['дом хороший', 'купили', 'квартиру', 'ждём', 'сдадут']","дом хороший,купили,квартиру,ждём,сдадут","['Купили тут квартиру', 'Купили', 'квартиру', 'Ждём когда сдадут', 'Ждём', 'сдадут']","Купили тут квартиру,Купили,квартиру,Ждём когда сдадут,Ждём,сдадут",Рекомендую,,,
76,Новый город,Nic1953,Большой выбор жилья.,большая выбор жилья,['большой выбор жилья'],большой выбор жилья,['большой выбор жилья'],большой выбор жилья,"['Большой выбор жилья', 'Большой', 'жилья', 'выбор']","Большой выбор жилья,Большой,жилья,выбор",Рекомендую,,,
77,Новый город,Марти Макфлай,Отличный район,отличный район,['отличный район'],отличный район,['отличный район'],отличный район,"['Отличный район', 'район']","Отличный район,район",Рекомендую,,,
78,"На ул. Костромской, 100",Жидков  Слава,"Прекрасное расположение . Отлично развита инфраструктура. Разнообразие магазинов , ПВЗ , школа , садики , поликлиника . Много зелени , хорошие чистые дворы","хорошие чистые дворы, разнообразие магазинов, прекрасное расположение, поликлиника зелени, школа, садики, инфраструктура","['разнообразие магазинов', 'отлично развита инфраструктура', 'прекрасное расположение', 'хорошие чистые', 'поликлиника']","разнообразие магазинов,отлично развита инфраструктура,прекрасное расположение,хорошие чистые,поликлиника","['отлично развита инфраструктура', 'хорошие чистые дворы', 'прекрасное расположение', 'разнообразие магазинов', 'пвз', 'школа', 'садики', 'поликлиника', 'зелени']","отлично развита инфраструктура,хорошие чистые дворы,прекрасное расположение,разнообразие магазинов,пвз,школа,садики,поликлиника,зелени","['Отлично развита инфраструктура', 'Прекрасное расположение', 'Отлично', 'ПВЗ', 'школа', 'садики']","Отлично развита инфраструктура,Прекрасное расположение,Отлично,ПВЗ,школа,садики",Инфраструктура в шаговой доступности,Расположение удобное,Чистота двора,
79,"На ул. Костромской, 100",Дмитрий,"Отличное месторасположения, рядом остановка общественного транспорта, в шаговой доступности есть Десяточку, Магнит, Бристоль.","шаговая доступность, отличное месторасположение, общественное транспорт, остановка, магнит, десяточка, бристоль","['бристоль', 'отличное месторасположения', 'есть десяточку', 'рядом остановка', 'магнит']","бристоль,отличное месторасположения,есть десяточку,рядом остановка,магнит","['остановка общественного транспорта', 'отличное месторасположения', 'шаговой доступности', 'десяточку', 'магнит', 'бристоль']","остановка общественного транспорта,отличное месторасположения,шаговой доступности,десяточку,магнит,бристоль","['шаговой доступности есть Десяточку', 'остановка общественного транспорта', 'Отличное месторасположения', 'Магнит', 'Бристоль', 'Десяточку']","шаговой доступности есть Десяточку,остановка общественного транспорта,Отличное месторасположения,Магнит,Бристоль,Десяточку",Расположение удобное,Инфраструктура в шаговой доступности,,
80,"На ул. Костромской, 100",Андрей,"Самая отвратительная новостройка что я видел.
Даже проходить мимо неприятно. Все сыпится, рушится и разваливается. Нетская площадка кашмарная. Такое ощущение что все делалось не руками.","отвратительная новостройка, кашмарная ощущение, руки, площадка, нетскай","['такое ощущение что все делалось не руками', 'проходить мимо неприятно', 'нетская площадка', 'все сыпится', 'даже']","такое ощущение что все делалось не руками,проходить мимо неприятно,нетская площадка,все сыпится,даже","['самая отвратительная новостройка', 'нетская площадка кашмарная', 'видел', 'проходить', 'неприятно', 'сыпится', 'рушится', 'разваливается', 'ощущение', 'делалось', 'руками']","самая отвратительная новостройка,нетская площадка кашмарная,видел,проходить,неприятно,сыпится,рушится,разваливается,ощущение,делалось,руками","['Самая отвратительная новостройка', 'новостройка что я видел', 'Самая', 'видел', 'отвратительная', 'проходить мимо неприятно']","Самая отвратительная новостройка,новостройка что я видел,Самая,видел,отвратительная,проходить мимо неприятно",Рекомендую(Минус),,,
81,"На ул. Костромской, 100",Aндрей,Новый дом! Люди обживаются!,"новый дом, люди","['новый дом', 'обживаются']","новый дом,обживаются","['новый дом', 'обживаются']","новый дом,обживаются","['Новый дом', 'дом', 'обживаются']","Новый дом,дом,обживаются",Рекомендую,,,
82,"На ул. Костромской, 100",Катерина Соколова,"Строится уже много лет, ни как не могут сдать в эксплуатацию","эксплуатация, годы","['строится уже много лет', 'не', 'ни']","строится уже много лет,не,ни","['строится', 'сдать', 'эксплуатацию']","строится,сдать,эксплуатацию","['сдать в эксплуатацию', 'Строится', 'сдать']","сдать в эксплуатацию,Строится,сдать",DELETED,DELETED,DELETED,DELETED
83,"На ул. Костромской, 100",Вячеслав Кузнецов,"Не плохой ЖК, кстати, скоро сдаётся в эксплуатацию",эксплуатация,"['плохой жк', 'кстати', 'не']","плохой жк,кстати,не","['плохой жк', 'скоро сдаётся', 'кстати', 'эксплуатацию']","плохой жк,скоро сдаётся,кстати,эксплуатацию","['скоро сдаётся в эксплуатацию', 'кстати', 'скоро', 'эксплуатацию', 'плохой', 'сдаётся']","скоро сдаётся в эксплуатацию,кстати,скоро,эксплуатацию,плохой,сдаётся",Рекомендую,,,
84,"На ул. Костромской, 100",Виктория Огаркова,"Чистый воздух, хорошее расположение.","чистый воздух, хорошее расположение","['хорошее расположение', 'чистый']","хорошее расположение,чистый","['чистый воздух', 'хорошее расположение']","чистый воздух,хорошее расположение","['Чистый воздух', 'хорошее расположение', 'хорошее']","Чистый воздух,хорошее расположение,хорошее",Расположение удобное,,,
85,"На ул. Костромской, 100",Людмила,"Дом красивый, планировка отстает","красивый планировка, дом","['планировка отстает', 'дом красивый']","планировка отстает,дом красивый","['дом красивый', 'планировка отстает']","дом красивый,планировка отстает","['Дом красивый', 'планировка отстает', 'Дом', 'отстает']","Дом красивый,планировка отстает,Дом,отстает",Рекомендую,,,
86,"На ул. Костромской, 100",Николай Чернышов,Не обжит ещё ничего в нём пока нет,['не'],не,"['обжит', 'нём']","обжит,нём","['обжит', 'нём']","обжит,нём",,Инфраструктура в шаговой доступности(Минус),,,
87,"На ул. Костромской, 100",Eugene V.,Культура строительства 'прёт через край' :-(,"культура строительства, край","['культура строительства', 'край']","культура строительства,край","[""культура строительства 'прёт"", ""край'""]","культура строительства 'прёт,край'","['Культура строительства', 'прёт через край', 'Культура', 'прёт', 'край']","Культура строительства,прёт через край,Культура,прёт,край",DELETED,DELETED,DELETED,DELETED
88,"На ул. Костромской, 100",Владимир,Всё норм,нормы,['всё норм'],всё норм,['норм'],норм,['норм'],норм,Рекомендую,,,
89,Волжский Берег,Галя,"Красивая живописная природа, вокруг сказочной красоты 
леса, чистый воздух. Птицы разных видов   наполняют своим пением пространство.","сказочная красота леса, красивая живописная природа, чистый воздух, разные виды, птицы, пространство, пение","['вокруг сказочной красоты', 'чистый воздух', 'пением пространство', 'птицы разных', 'леса']","вокруг сказочной красоты,чистый воздух,пением пространство,птицы разных,леса","['птицы разных видов наполняют своим пением пространство', 'красивая живописная природа', 'сказочной красоты леса', 'чистый воздух']","птицы разных видов наполняют своим пением пространство,красивая живописная природа,сказочной красоты леса,чистый воздух","['Красивая живописная природа', 'сказочной красоты леса', 'чистый воздух', 'Красивая', 'природа', 'леса']","Красивая живописная природа,сказочной красоты леса,чистый воздух,Красивая,природа,леса",Расположение удобное,Рекомендую,,
90,Волжский Берег,Татьяна Татьянова,"Один недостаток, который перекрывает любые плюсы - отсутствие инфраструктуры. Магазины, школы, детские сады и остановки общественного транспорта далеко. В целом квартиры не плохие. Просторные. В каждом подъезде по два лифта.","плохие просторные каждый подъезд, детские сады остановки, целое квартиры, отсутствие инфраструктуры, общественное транспорт, магазины школы, любые плюсы, два лифта, недостаток","['отсутствие инфраструктуры', 'по два лифта', 'транспорта далеко', 'один недостаток', 'который перекрывает любые плюсы']","отсутствие инфраструктуры,по два лифта,транспорта далеко,один недостаток,который перекрывает любые плюсы","['перекрывает любые плюсы', 'остановки общественного транспорта', 'отсутствие инфраструктуры', 'детские сады', 'целом квартиры', 'каждом подъезде', 'недостаток', 'магазины', 'школы', 'плохие', 'просторные', 'лифта']","перекрывает любые плюсы,остановки общественного транспорта,отсутствие инфраструктуры,детские сады,целом квартиры,каждом подъезде,недостаток,магазины,школы,плохие,просторные,лифта","['перекрывает любые плюсы', 'отсутствие инфраструктуры', 'недостаток', 'плюсы', 'отсутствие', 'детские сады и остановки']","перекрывает любые плюсы,отсутствие инфраструктуры,недостаток,плюсы,отсутствие,детские сады и остановки",Наличие магазинов рядом(Минус),Наличие магазинов рядом(Минус),,
91,Волжский Берег,Лариса Каурова,"Всё совсем не так, как на картинке. Пока только два дома построено. Проживаю в одном из них. Проезд к дому весь в ямах. Два года, как сдан дом,но ничего не делается","дом, два дома, два года, ямы, проезд, картинка","['пока только два дома', 'но ничего не делается', 'на картинке', 'не так', 'как']","пока только два дома,но ничего не делается,на картинке,не так,как","['дома построено', 'сдан дом', 'картинке', 'проживаю', 'одном', 'проезд', 'дому', 'ямах', 'делается']","дома построено,сдан дом,картинке,проживаю,одном,проезд,дому,ямах,делается","['картинке', 'дома построено', 'Проживаю в одном', 'дома', 'Проезд', 'ямах']","картинке,дома построено,Проживаю в одном,дома,Проезд,ямах",Обустроенные дороги(Минус),,,
92,Волжский Берег,В.В.В.,"Дорога к дому это жесть!!! Слышимость в квартире и запахи , если не запенить дыры в полу и потолке. Три двери в подъезде….. непонятно для чего! А так нормально для небольших денег. Магазины в пешей доступности. До центра Костромы на машине 15 мин. Беспризорные дети бегают по двору и бесконечно лает собака.","пешая доступность центра костромы, три двери, небольшие деньги, машина мин, беспризорные дети, собака, слышимость, потолок, пол, подъезд, магазины, квартира, запахи, жесть, дыра, дорога, дом, двор","['до центра костромы на машине', 'дому это жесть', 'бесконечно лает собака', 'беспризорные дети', 'потолке']","до центра костромы на машине,дому это жесть,бесконечно лает собака,беспризорные дети,потолке","['беспризорные дети бегают', 'бесконечно лает собака', 'запенить дыры', 'небольших денег', 'пешей доступности', 'центра костромы', 'машине 15 мин', 'дорога', 'дому', 'жесть', 'слышимость', 'квартире', 'запахи', 'полу', 'потолке', 'двери', 'подъезде', 'непонятно', 'нормально', 'магазины', 'двору']","беспризорные дети бегают,бесконечно лает собака,запенить дыры,небольших денег,пешей доступности,центра костромы,машине 15 мин,дорога,дому,жесть,слышимость,квартире,запахи,полу,потолке,двери,подъезде,непонятно,нормально,магазины,двору","['Дорога к дому', 'дому это жесть', 'запенить дыры в полу', 'жесть', 'Слышимость в квартире', 'квартире и запахи']","Дорога к дому,дому это жесть,запенить дыры в полу,жесть,Слышимость в квартире,квартире и запахи",Высокая слышимость,Обустроенные дороги(Минус),,
93,Волжский Берег,Лариса игнатова,Не достроенный район но будет наверно клёво место хорошее рядом лес,"хорошее лес, достроенный район, место","['не достроенный район но', 'место хорошее рядом лес', 'будет наверно']","не достроенный район но,место хорошее рядом лес,будет наверно","['наверно клёво место хорошее', 'достроенный район', 'лес']","наверно клёво место хорошее,достроенный район,лес","['наверно клёво место хорошее', 'место хорошее рядом лес', 'достроенный район', 'район но будет наверно', 'клёво место', 'лес']","наверно клёво место хорошее,место хорошее рядом лес,достроенный район,район но будет наверно,клёво место,лес",Расположение удобное,Рекомендую,,
94,Волжский Берег,Евген Г.,Лучшее место для жизни!,наихорошее место жизни,['лучшее место для жизни'],лучшее место для жизни,"['лучшее место', 'жизни']","лучшее место,жизни","['Лучшее место для жизни', 'Лучшее', 'жизни', 'место']","Лучшее место для жизни,Лучшее,жизни,место",Рекомендую,,,
95,Волжский Берег,oleg novosilcev,Грязно магазинов нет такси не вызвать доставка не едет,"такси, магазины, доставка","['магазинов нет такси не вызвать', 'не едет']","магазинов нет такси не вызвать,не едет","['грязно магазинов', 'вызвать доставка', 'такси', 'едет']","грязно магазинов,вызвать доставка,такси,едет","['Грязно магазинов нет такси', 'вызвать доставка не едет', 'такси не вызвать доставка', 'Грязно', 'едет', 'магазинов']","Грязно магазинов нет такси,вызвать доставка не едет,такси не вызвать доставка,Грязно,едет,магазинов",Наличие магазинов рядом(Минус),Чистота двора(Минус),,
96,Волжский Берег,Андрей У.,"Надо бы наоборот названиями их поменять, тот что Новый город назвать Волжский берег, а этот Новым городом и пора там дорогу сделать, дома задали а подъезда к ним нет","новый город, новые город, волжский берег, подъезд, названия, дорога, дом","['тот что новый город назвать волжский берег', 'наоборот названиями их поменять', 'ним нет', 'надо']","тот что новый город назвать волжский берег,наоборот названиями их поменять,ним нет,надо","['новый город назвать волжский берег', 'наоборот названиями', 'новым городом', 'дорогу сделать', 'дома задали', 'поменять', 'подъезда', 'ним']","новый город назвать волжский берег,наоборот названиями,новым городом,дорогу сделать,дома задали,поменять,подъезда,ним","['Новый город назвать Волжский', 'назвать Волжский берег', 'наоборот названиями их поменять', 'дома задали а подъезда', 'Новый город', 'дорогу сделать']","Новый город назвать Волжский,назвать Волжский берег,наоборот названиями их поменять,дома задали а подъезда,Новый город,дорогу сделать",Обустроенные дороги(Минус),,,
97,Волжский Берег,Артем Луценко,"Стоят в поле два дома, инфраструктура не развита, до ближайших магазинов километра полтора.","ближайшие магазины километра, два дома, поле, инфраструктура","['до ближайших магазинов километра полтора', 'инфраструктура не развита']","до ближайших магазинов километра полтора,инфраструктура не развита","['ближайших магазинов километра полтора', 'стоят', 'поле', 'дома', 'инфраструктура', 'развита']","ближайших магазинов километра полтора,стоят,поле,дома,инфраструктура,развита","['ближайших магазинов километра полтора', 'инфраструктура не развита', 'Стоят в поле', 'поле два дома', 'Стоят', 'дома']","ближайших магазинов километра полтора,инфраструктура не развита,Стоят в поле,поле два дома,Стоят,дома",Наличие магазинов рядом(Минус),Инфраструктура в шаговой доступности,,
98,Волжский Берег,Вероника,Дорог нет вообще,дороги,['дорог нет вообще'],дорог нет вообще,"['дорог', 'вообще']","дорог,вообще","['Дорог нет вообще', 'Дорог', 'вообще']","Дорог нет вообще,Дорог,вообще",Обустроенные дороги(Минус),,,
99,Волжский Берег,Анна К.,Отличное место😁,отличное место,[],['отличное место😁'],отличное место😁,"['Отличное место', 'место']","Отличное место,место",,Рекомендую,,,
100,Волжский Берег,Александр Петренко,Отопление отключили холодно очень,отопление,"['холодно очень', 'отопление']","холодно очень,отопление",['отопление отключили холодно'],отопление отключили холодно,"['Отопление отключили холодно', 'Отопление', 'отключили', 'холодно']","Отопление отключили холодно,Отопление,отключили,холодно",Отопление(Минус),,,
